price_rule_key,source_channel,source_product_name,source_options,normalized_source,total_unit_price,item_type,main_product,set_name,component_count,allocated_total,allocation_variance,source_row,review_status,is_active
dc93a8679fe64b41a1cf234135e66dd23622b755266ea706120e35ea886bfe69,리큐엠_스마트스토어,커스텀파우치,NEW 커스텀 하드파우치: 베이지,커스텀파우치new커스텀하드파우치베이지,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,125,confirmed,true
f21cf0caca8ed112797b2f0538608ce3c5b9e59348caf6ebe6ced16cf05e13f3,리큐엠_스마트스토어,커스텀파우치,NEW 커스텀 하드파우치: 옐로우,커스텀파우치new커스텀하드파우치옐로우,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,127,confirmed,true
1fddb97757e701f9edf3d31f3a6e3d3dcc95e9eabd7a32982d9ffe91ab5a6ead,리큐엠_스마트스토어,커스텀파우치,?? 커스텀 하드파우치: 그린,커스텀파우치커스텀하드파우치그린,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,129,confirmed,true
fe6cdc5c122c2889d1edfa5a9e1b10deb3f01d8e3fba8de0b8442417b7c6742a,리큐엠_스마트스토어,커스텀파우치,?? 커스텀 하드파우치: 블루,커스텀파우치커스텀하드파우치블루,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,131,confirmed,true
1f4705afe13d715d96a3396bc2ecc59314ccadbba7d5e86e0be0f33a2b2458b9,리큐엠_스마트스토어,커스텀파우치,?? 커스텀 하드파우치: 블랙,커스텀파우치커스텀하드파우치블랙,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,133,confirmed,true
71f524f7f5c3a378f530db97a41874438ddffc3b12019f2e130e8e0613b8654b,리큐엠_스마트스토어,커스텀파우치,?? 커스텀 하드파우치: 베이지,커스텀파우치커스텀하드파우치베이지,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,135,confirmed,true
d49fc851bcb7bb57e52339fd8ba034de0d89d975845565a54a9af2bedfe39515,리큐엠_스마트스토어,커스텀파우치,?? 커스텀 하드파우치: 옐로우,커스텀파우치커스텀하드파우치옐로우,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,137,confirmed,true
b5dbc8d37625ae416561f3d57b4b3793d9d1b9b39f7cb531c28cd0e0f3b9fa9d,리큐엠_스마트스토어,커스텀파우치,?? 여행 필수템: 커스텀파우치 그린,커스텀파우치여행필수템커스텀파우치그린,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,139,confirmed,true
0234c29855cf6235870ec901d69615c15afd249003633ac27c53650ccda528ec,리큐엠_스마트스토어,커스텀파우치,?? 여행 필수템: 커스텀파우치 블루,커스텀파우치여행필수템커스텀파우치블루,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,141,confirmed,true
98cf6f12553a73d284f083290c3c601323261f57822772bc4ca923de31f620d7,리큐엠_스마트스토어,커스텀파우치,?? 여행 필수템: 커스텀파우치 블랙,커스텀파우치여행필수템커스텀파우치블랙,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,143,confirmed,true
b6b8137ba3b757469ba9938c8619e2f62eb83259a0adde969705cfd6b6a1784c,리큐엠_스마트스토어,커스텀파우치,?? 여행 필수템: 커스텀파우치 베이지,커스텀파우치여행필수템커스텀파우치베이지,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,145,confirmed,true
fe9e0ff3469ceb3b29354048295e3034520abb86763a65214a859789c44cf096,리큐엠_스마트스토어,커스텀파우치,?? 여행 필수템: 커스텀파우치 옐로우,커스텀파우치여행필수템커스텀파우치옐로우,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,147,confirmed,true
263316e5d7d12a095eefcffbc4ce6c07c7126e4a2134e7223f44e1e08b7edfc3,리큐엠_스마트스토어,커스텀파우치,??여행 필수템: 커스텀파우치 그린,커스텀파우치여행필수템커스텀파우치그린,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,149,confirmed,true
56292be87e9094e52b9c1dbd2e63aaee1cfa1b3e13f37552dda075d2c20b50a6,리큐엠_스마트스토어,커스텀파우치,??여행 필수템: 커스텀파우치 블루,커스텀파우치여행필수템커스텀파우치블루,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,151,confirmed,true
b9f442b04bdffdd39673b7ff235bc4ed16dd980fa9c74fa09eec6429a94440fc,리큐엠_스마트스토어,커스텀파우치,??여행 필수템: 커스텀파우치 블랙,커스텀파우치여행필수템커스텀파우치블랙,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,153,confirmed,true
